Action de formation,Libellé AF (Fr)
2029,PORT ARI-APPAR RESPIR ISOLANT
2031,PRATIQUE SECURITE
2032,PRATIQUE TURBINES POMPES RAFF
2041,PROCEDES CHAINE SOUFRE - DGS
2042,PROCEDURES COMMUNES REFORMEUR
2043,GAZ PLANT D9 RN
2044,PROCEDURES STRATEGIE DGO2 - RN
2045,PROCEDURES STRATEGIE FRACTIONN
2046,PROCEDURES STRATEGIE ISO C5 SP
2049,PRODUCTION ELECTRICITE RAFF-RN
2050,PRODUCT & DISTRIB HYDROGENE-RN
2054,PROGRAMMES ET VALORISATION
2056,PROD PETROL & STOCK - 5 JOURS
2057,INTRODUCTION AU SYSTEME DE MANAGEMENT
2065,R/PROPY/TORCHE FIPT - DGS
2066,CHEF EQUIPE INTERVENTION
2070,RECYCLAGE - PSE
2073,RECYCL. SECURITE / FEUX REELS
2075,RECYCLAGE FORMATION SIES OETAM
2077,RECY HABILITATION ELECTRIQUE
2078,RECYCLAGE OPI
2081,RECYCLAGE SST 12 HEURES
2084,RR SUR SIMULATEUR - NIV2 - DGS
2085,REFORMAGESIMULATEUR-NIV1 - DGS
2095,RESEAUX ELECTRIQUES COGENERATI
2097,RPIS RESP&PREV INTERV / UNITES
2109,CHEF DE QUART LABORATOIRE
2110,CHIMISTE LABORATOIRE
2112,CONTREMAITRE LABORATOIRE
2113,INSPECTION
2114,INSPECTION/TECHNOLOGIE
2116,SP1 AGENT TECHNIQUE DE JOUR
2119,SP2 AGENT TECHN JOUR ENERGIE
2124,SP1 CONTREMAITRE
2132,SP2 AGENT TECHN JOUR UNITES
2139,SP2 CONTREMAITRE ENERGIE
2140,SP2 CONTREMAITRE UNITES
2143,EF DPCO OPERATEUR PFI
2151,EF DPCO CHEF DE QUART
2153,SP3 CONTREMAITRE
2154,SP3 CONTREMAITRE LOGISTIQUE
2157,EF DPCO CONSOLE
2159,SP3 OPERATEUR JOUR
2164,EF DPCO OPERATEUR TMEX
2168,EF DPCO OPERATEUR SECURITE
2171,TECHNICIEN ANALYSEURS
2172,TECHNICIEN BAE
2173,TECHNICIEN BDF
2177,TECHNICIEN ETUDES/LOGISTIQUE
2178,TECHNICIEN GESTION CARRIERES
2179,TECHNICIEN GESTION PERFORMANCE
2181,TECHNICIEN MAINTENANCE
2183,TECHNICIEN PROCESS CONTROL
2185,TECHNICIEN SECTEUR TECHNIQUE 1
2186,TECHNICIEN SECTEUR TECHNIQUE 2
2187,TECHNICIEN SECTEUR TECHNIQUE 3
2188,TECHNICIEN SECTEUR TECHNIQUE 4
2189,RISQUE ET PREVENTION - AMIANTE
2190,RISQUE ET PREVENTION - BENZENE
2191,RISQUE ET PREVENTION - BRUIT
2192,PRODUITS TOXIQUES - CMR
2193,DIPHOTERINE ET HEXAFLUORINE
2197,E/MV CHEF OPERATEUR - RP
2198,E/MV CHEF OPERAT LAVERA - RP
2199,E/MV CHEF OPERAT LAVERA FIP-RP
2200,E/MV CHEF OPERATEUR FIPT -RP
2201,Utilité E/MV Op utilités – TER
2202,E/MV OPER CENTRALE EST FIPT-RP
2203,E/MV OPER CENTRALE OUEST - RP
2204,E/MV OPER CENTRALE OUEST FI-RP
2205,RP E/MV OPERAT DEMINE
2206,E/MV OPERAT DEMINE FIPT - RP
2207,E/MV OPERAT EXT E/MV - RP
2208,E/MV OPERAT EXT E/MV FIPT - RP
2209,E/MV OPERAT EXT MVT - RP
2210,E/MV OPERAT EXT MVT FIPT - RP
2211,E/MV OPERATEUR LAVERA - RP
2212,E/MV OPERATEUR LAVERA FIPT -RP
2213,E/MV OPERAT TABLEAU E/MV - RP
2214,E/MV OPERAT TABLEAU E/MV FI-RP
2215,E/MV OPERAT TABLEAU MVT - RP
2216,E/MV OPERAT TABLEAU MVT FIP-RP
2217,E/MV POMPISTE JOUR - RP
2218,E/MV POMPISTE JOUR FIPT - RP
2219,RP E/MVT AG MAITRISE EVG
2220,RP E/MVT AG MAITRISE EVG FIPT
2221,E/MVT AG TECHN INTERV - RP
2222,E/MVT AG TECHN INTERV FIPT -RP
2223,RP E/MVT AM TRAV MOY TERM
2224,E/MVT AM TRAV MOY TERM FIPT-RP
2227,RP E/MVT COMP TABLEAU MVT
2228,RP E/MVT COMP TABLEAU MVT FIPT
2229,RP E/MVT CONTREMAITRE
2230,RP E/MVT CONTREMAITRE LAVERA
2231,RP E/MVT CONTREMAITRE LAVERA F
2232,RP E/MVT CONTREMAITRE FIPT
2235,E/MVT TECHN PROCEDES - RP
2236,E/MVT TECHN PROCEDES FIPT - RP
2237,RP E/MVT TECHN PROCEDURES
2238,RP E/MVT TECHN PROCEDURES FIPT
2239,E/MVT TECH TRAV MOY TERM - RP
2240,RP E/MVT TECH TRAV MOY TERM FI
2241,E/MVT TECH TRAVAUX - RP
2242,RP E/MVT TECH TRAVAUX FIPT
2243,EST BO ALTERNANCE - RP
2244,EST BO ALTERNANCE FIPT - RP
2245,CHEF OPERATEUR - RP
2246,EST CHEF OPERATEUR FIPT - RP
2247,EST COACI - RP
2248,EST COACI FIPT - RP
2249,EST CORRESPON FORMATION - RP
2251,EST OPER CONS EXT D4 - RP
2252,EST OPER CONS EXT D4 FIPT - RP
2253,EST OPER CONS EXT REF5 - RP
2254,EST OPER CONS EXT REF5 FIPT-RP
2255,EST OPER EXT DGO3 - RP
2256,EST OPER EXT DGO3 FIPT - RP
2257,EST OPER JOUR - RP
2258,RP EST OPER JOUR FIPT
2259,EST POMPISTE INTERV - RP
2260,EST POMPISTE INTERV FIPT - RP
2261,EST POMPISTE MECAN JOUR - RP
2262,EST POMPISTE MECAN JOUR FIP-RP
2263,TECH TRAVAUX UNITES - RP
2264,EST TECHNICIEN EXPLOIT FIPT-RP
2265,EST TECHNICIEN MATERIEL - RP
2266,RP EST TECHNICIEN MATERIEL FIP
2267,OUEST BO ALTERNANCE - RP
2268,RP OUEST BO ALTERNANCE FIPT
2269,OUEST CHEF OPERATEUR - RP
2270,OUEST CHEF OPERATEUR FIPT - RP
2273,OUEST OP EXT GP FPP FIPT - RP
2274,OUEST OP EXT GP FPP - RP
2275,RP OUEST OPER CONS INTER A/V
2276,RP OUEST OPER CONS INTER A/V
2277,
2278,
2279,OUEST OPER EXT ALKYL - RP
2280,OUEST OPER EXT ALKYL FIPT - RP
2281,OUEST OPER EXT ALKY VISC - RP
2282,OUEST OPER EXT ALKY VISC FI-RP
2283,OUEST OPER EXT CR3 - RP
2284,OUEST OPER EXT CR3 FIPT - RP
2287,OUEST OPER EXT VISCO - RP
2288,OUEST OPER EXT VISCO FIPT - RP
2289,OUEST PHC POSTE - RP
2290,RP PHC OUEST POSTE FIPT
2291,OUEST PHC DE JOUR CR3 - RP
2292,OUEST PHC DE JOUR CR3 FIPT -RP
2293,OUEST TECHNICIEN EXPLOIT - RP
2294,OUEST TECHNICIEN EXPLOIT FI-RP
2295,RP OUEST TECHNICIEN MATERIEL
2296,RP OUEST TECHNICIEN MATERIEL
2297,RP OUEST TECHNICIEN PROCED
2298,RP OUEST TECHNICIEN PROCED FIP
2299,OUEST TECHNICIEN TRAV - RP
2300,RP OUEST TECHNICIEN TRAV FIPT
2301,RP AGENT DE SECU  PREVENTION
2307,RP – TECH PREVENTION SECU
2311,SECURITE OPER DE STOCK
2312,SECURITE OPERATIONS EXPL RAFF
2313,SECURITE TRAVAUX ARRET UNITES
2321,SENSIBILISAT RISQUES ROUTIERS
2323,SENSIBILISATION PROTECTION ENV
2325,DIRECTIVE SEVESO II
2326,SIES ENCADREMENT
2335,SURV MACH TOURNANTES - DGS
2336,SURVEILLANCE MACHINES TOURN
2340,ANTI CORROSION PEINTURES INDUS
2341,SYSTEME DE COMPTAGE
2342,COMMON RAIL
2343,CODE OPERGUID - STRATEGIES -RN
2345,SYST DE VIDE & EJECTEUR VAPEUR
2352,TRAITEMENT DES EAUX
2357,TRANSPORT MARCHAND DANGER
2359,TRANSPORT MATIERES DANGEREUSES
2365,TRISTATION
2366,TURBINES A GAZ
2367,UTILITES SUD FIPT - DGS
2369,VISITE DE CONFORMITE TRAVAUX
2370,VISCO FIPT - DGS
2401,ASSISTANTE JURIDIQUE
2402,DROIT DES AFFAIRES - CONTRATS
2408,ECONOMIE DU GAZ NATUREL
2411,ACCESS 2000 INITIATION
2506,APPAREILLAGES BASSE TENSION
2509,INSTALLAT ELECT BASSE TENSION
2516,PREPARATION RETRAITE REUNICA
2533,COMMUNICATION DE CRISE
2548,AUDITEUR PROTOCOLE D'AUDIT
2552,COMPTABILITE NIVEAU I
2553,COMPTABILITE NIVEAU II
2593,EPARGNE SALARIALE EN ENTREPRIS
2597,REGIMES DE RETRAITE
2599,ACTUALISATION RETRAITE
2602,MALADIE-INAPTITUDE -INVALIDITE
2606,ACTUALISATION SECURITE SOCIALE
2611,DOCUMENTS DE LA PAIE
2612,GESTION DU STRESS AU QUOTIDIEN
2615,STRESS ET VIE PROFESSIONNELLE
2636,ACTUALITE DROIT DU TRAVAIL
2679,REGLEMENTATION ELECTRIQUE
2680,SECRETAIRES-GAGNEZ DU TEMPS
2686,INSTANCES REPRESENTATIVES PERS
2687,NEGOCIER - PARTENAIRES SOCIAUX
2697,STATUT DES SALARIES IMPATRIES
2702,FORMATION AU RECRUTEMENT
2704,REGLEMENTATION FORMATION
2706,MEDECINE ET SANTE AU TRAVAIL
2719,INITIATION ACHATS M&S
2758,OIL SPILL MANAGEMENT COURSE
2764,HABILITATION ELECTRIQUE IND 0
2773,PHOTOSHOP
2780,RESEAUX ET TELECOMS
2781,ACCESS 97 SPECIFIQUE
2798,PRODUITS PETROLIERS
2799,ENVIRONNEMENT PETROLE
2804,TRANSPORTS MARITIMES PETROLIER
2822,DETERM QUTE TRANSP QUAL HYDRO
2900,RESEAUX - SYNTHESE TECHNIQUE
3001,VIVRE ET TRAVAILLER  INDONESIE
3006,VIVRE ET TRAVAILLER  ITALIE
3007,VIVRE ET TRAVAILLER  CHINE
3100, FINANCE POUR NON FINANCIERS
3102,ENTR INDIV ANNUEL (EIA) (F)
3103,DROIT SOCIAL
3106,FINANCE/COMPTAB NON FINANCIERS
3107,PRATIQUE DES ETUDES EMPLOI
3108,EVALUATION DES POSTES
3109,EVALUAT DES POSTES PRATIQ HAY
3110,MAITRISE TECHNIQUES ENTRETIEN
3111,RECRUTEMENT
3112,INTERPRET EVOLUT SOCIALES
3113,METIER RH
3115,TMP - TRAVAILLER EN EQUIPE
3116,TECHNIQUES DE PRESENTATION
3120,AFFIRMATION DE SOI
3123,DECOUVRIR LE GROUPE ET SON ENV
3125,TOTAL LE GROUPE AUJOURD'HUI
3131,ANIMATION D'EQUIPE
3132,PEOPLE MANAGEMENT SKILLS/ENGLI
3133,MANAGEMENT DE PROJETS
3134,RELATIONS INTERPERSONNELLES - TMP
3135,COHESION D EQUIPE - TMP2
3137,BUSINESS SKILLS DEVLP PRGRM
3138,SEMINAIRE DE MANAGEMENT GROUPE
3200,HSE MANAGEMENT (SEV1)
3201,HSE IMPLEMENTATION (SEV 2)
3202,ISO 9001- 2000 - ESPRIT NORMES
3205,GESTION/COMMUNICATION DE CRISE
3211,LES ENJEUX DE LA NORMALISATION
3212,KIT DEMULTIPLICATION QUALITE
4037,ANGLAIS COURS PARTICULIERS
4045,DEVELOP RELATION CLIENT QUALIT
4047,MANAGERS GAGNEZ DU TEMPS
4048,SECRETAIRE-ASSIST GEREZ STRESS
4050,AFFIRMER SA PERSONNALITÉ ET DÉ
4053,AC200  COMPTA GENE CLIENT
4060,AC010 COMPTA FINAN REPORTING
4069,AC405 CENTRE DE COUTS
4070,AC040 CONTROLE DES COUTS
4087,AC305 GESTION DES IMMOBI
4089,TRESORERIE PERFECTIONNEMENT
4124,FORMATION DE FORMATEURS
4128,E-PROCUR & PRATIQUE DU E-ACHAT
4129,COMMUNIQUER AVEC AISANCE EN SI
4130,ACHATS DE PRESTATIONS DE S
4131,E-PROCUREMENT
4137,METHODES PRATIQUES DE GESTION
4139,SELECTION ET EVALUATION DES FO
4141,MAITRISE ET AFFIRMATION DE SOI
4145,BASES DE LA PAIE NIVEAU 1
4148,ASPECTS JURIDIQUES DES ACHATS
4173,FONDAMENTAUX MANAGEMENT PROJET
4175,GAS TREATING AND SULFUR RECOVE
4177,GAS CONDITIONING AND PROCESSIN
4181,GPS EN GEODESIE ET TOPOMETRIE
4189,PRATIQUE DES CONTRATS INFORMAT
4191,INTRODUCTION AU TRANSPORT ET A
4196,NEGOCIATION ET ARGUMENTATION -
4198,MAITRISEZ VOTRE TEMPS ET VOTRE
4199,LIRE ET INTERPRÉTER LES DOCUME
4207,PHOTOSHOP
4212,DREAMWEAVER FONCTIONS AVANCEES
4221,TECHN DE CONTROLE DES SABLES
4222,"DAMAGE CAUSES, PREVENTION & REMEDIATION"
4224,ANIMER ET DIRIGER LE CHANGEMEN
4228,IMAGE INTERPRETATION  COURSE
4246,PARAMÉTRAGE PAIE - HR ACCESS
4251,FORMATION MATLAB
4252,HYDRAULIC FRACTURING NIVEAU1
4259,PHOTOSHOP 5.5
4262,REALISATION DU PUITS ET INTERP
4263,EXPLOITATION DES COMPRESSEURS
4265,INFORMATION PRODUCTION FOND -
4266,INTERPRETATION DIAGRA DIFFEREE
4270,BASES DE GEOPHYSIQUE PETROLIER
4271,ENTRETIEN-INSPECTION DES MACHI
4272,INSTRUMENTATION - REGULATION P
4273,PETROLEUM ENGINEERING - FPG
4275,POMPES CENTRIFUGES
4281,INFORMATIONS GISEMENTS
4282,DIAGRAPHIES DANS LES FORAG
4284,FLUIDES DE FORAGE ET TRAITEMEN
4289,MATERIELS - EQUIPEMENTS
4292,INFORMATION FORAGE
4294,PROCEDES & INSTALLATIONS PRODU
4295,FORMATION GISEMENT
4297,FORMATION TECH PROD SURFACE
4299,ORGANISATION  CONDUITE PROJETS
4300,ESTIM MAITR COUTS PROJETS
4301,PRATIQUE ETUDES DE RENTABILITE
4303,INFORMATION - GISEMENT
4306,INITIATION A LA GEOLOGIE PETRO
4307,INFORMATION PRODUCTION SURFACE
4308,IWCF - FORMATION PREVENT
4309,INTEGRATED RESERVOIR MANAGEMEN
4311,IWCF STRIPPING - RECYCLAGE PRÉ
4312,INFORMATION FORAGE - PRODUCTIO
4313,MECANISMES DRAINAGE-RECUP ASS
4314,GEOLOGIE DE RESERVOIR
4315,ETUDE DES FLUIDES - PVT
4316,INTERPRETATION DES ESSAIS DE P
4318,IWCF BOP SOUS-MARIN - RECYCLAG
4327,DYNAMIQUE DES ROTORS
4329,METROLOGIE-INCERTITUDES-PROCED
4333,METROLOGIE LEGALE EN COMPTAGE
4334,MAINTENANCE ET MISE EN OEUVRE
4335,ANALYSEURS DE POINTS SPECIFIQU
4336,ARCHITECTURE RESEAUX CO
4346,SURFACE PRODUCTION OPERATIONS
4353,EQUIPIER QUALIFIE DE PREMIERE
4362,ITS ADMINISTRATION  ITS070
4397,CREATION DE BASES DE DONNEES A
4398,AUTOCAD
4399,PREPARATION DES MISSIONS ISOLE
4414,NETWORKER
4421,PRESIDER UNE CHSCT
4422,REPRESENTANT  DU PERSONNEL AU
4427,FORMATION GENERALE CHSCT
4428,CHROMATOGRAPHIE EN PHASE LIQUI
4431,FORMATEURS INTERNES
4448,PRINCIPES DE MANAGEMENT DE LA
4461,COMPRENDRE TENDANCES INFORM
4464,TABLEAU DE BORD DU DSI
4470,RESEAUX - LA SYNTHESE
4474,PASSEPORT SYSTEMES INFORMATION
4480,SPECTROSCOPIE INFRAROUGE
4481,GEOCHEMISTRY  -  IGI
4483,GESTION RESSOURCES HUMAINES
4485,CHROMATOGRAPHIE D EXCLUSION ST
4494,ORGANISER SON TRAVAIL ET SON T
4496,ARGUMENTER ET PERSUADER POUR
4497,GERER SON STRESS
4499,MAITRISEZ LA METHODE HAZOP
4510,RESONANCE MAGNETIQUE NUCLEAIR
4517,FINANCE POUR NON FINANCIERS
4523,DREAMWEAVER UTILISATEUR NIV 1
4526,PHOTOSHOP - INITIATION
4528,ACCESS 97
4529,PHOTOSHOP - FONCTIONS AVANCEES
4532,SURETE INSTALLATIONS  ET SECUR
4536,ETRE EFFICACE ET MIEUX GERER S
4538,MAINTENANCE DES AUTOMATES PLC-
4550,ANTI  ANALYS TRAIT CONFLIT QUO
4551,ANIMER-MOTIVER-DIRIGER EQUIPE
4553,PROJECT
4557,TURBINE A GAZ
4562,GESTION DE LA SECURITE PAR LES
4570,GESTION DU STRESS PROFESSIONNE
4577,INGENIERIE PROJETS FORMATION
4583,PRISE NOTE CPTE RENDU REUNION
4586,ASSISTANTE  EQUIPE
4587,ASSISTANTE FORMATION
4590,ASSURER LE SUIVI BUDGETAIRE
4608,DEVELOPPEMENT SITE WEB
4609,ADMIN RED HAT ENTERPRISE LINUX
4619,MICROSOFT PROJECT
4620,RESEAUX TCP/IP
4634,SECURITE DES RESEAUX/INTERNET
4635,LUTTE INCENDIE - 1ER NIVEAU -
4636,LUTTE INCENDIE - 2EME NIVEAU -
4640,GESTES ET POSTURES
4643,CONCEPTION D'UNE INSTALLATION
4645,GESTION INFORMATISEE MAINT
4646,INSTALLATION ELECTRIQUE HAUTE
4647,RECYCLAGE HABILITATION MANOEUVRE
4648,PREPARATION HABILITATION
4649,CHARIOTS AUTOMOTEURS A CONDUCT
4651,PREPA HABILITATION ELEC TYPE 2
4654,PRODOM
4659,LE CADRE CONTRACTUEL EP
4663,INITIATION A LA REGULATION
4664,BASES ELECTRICITE
4668,TECHNOLOGIE DU MATERIEL PETRO
4669,MS-ACCESS 97 - FONCTIONS DE BA
4670,JOURNEE 5 PARCOURS BUREAUTIQUE
4672,PREPARATION HABILITATION ELEC
4674,SECURITE OPERATIONS STOCK
4675,INITIATION INFORMATIQUE INDUST
4678,EXPLOITATION DES COMPRESSEURS
4679,PERFECTIONNEMENT REGULATION
4680,GESTION DU TEMPS
4685,PLANS DE SECOURS
4686,PLAN DE PREVENTION ET PERMIS D
4689,CONNAISSANCE DE LA CORROSION I
4690,ANGLAIS SEMI-INTENSIF
4691,METHODOLOGIE ANALYSE RISQUES
4692,ARCHITECTURE SNCC SOUS WINDOWS
4698,TEMPS ET PRIORITES
4699,OPTIMISER SA COMMUNICATION
4702,INTEGRATION NOUVEAUX EMBAUCHES GEOSC-RES
4703,2G: STRATIGRAPHIE SEQUENTIELLE
4704,SEISMIC PROCESSING - L2
4705,EP - TECTONIQUE-SEDIMENTATION
4706,INTEGRATION DONNEES SURFACE
4707,EP - VALIDATION SONIQUE
4708,SEISMIC RESERVOIR CHARACTERIZATION 2
4712,STRATIGRAPHIE SISMIQUE
4714,VITESSES ET IMAGERIE SISMIQUE
4715,EP - ECOLE INTERPRETATION
4724,CONNAISSANCES GEOSCIENCES CP
4726,FORMATION SPDT PROD SURFACE
4728,OPERATIONS EN SECURITE INSTALL
4729,ACTIVATION PAR GAS-LIFT
4730,ARTIFICIAL LIFT
4731,OUTIL DE CONDUITE DES PUITS
4732,EXPLOITATION PUITS QUOTIDIEN
4734,EXPLOIT  TERMINAUX PETROLIERS
4736,COMPTAGE EN MILIEU PETROLIER
4737,CONTRATS SERVICES EXPLOITATION
4739,OPTIMISAT MAINTENANCE PAR RCM
4741,TECHNOLOGIES & PROD SUBSEA
4742,IMPLEMENTATION OF RBI (FAME+)
4744,INTERPRETATION  ESSAIS PUITS
4747,INITIATION A LA GEODESIE
4748,INTRODUCTION AU POSITIONNEMENT
4749,DIAGRAPHIES RESERVOIR 2
4750,ARCGIS POUR L'EP
4751,PETREL
4752,DIAGRAPHIES DE PRODUCTION
4753,EP - PUITS HORIZONTAUX ET COMP
4754,INTERPRETATION AVANCEE ESSAI PUITS
4755,GEOLOGIE DE GISEMENT
4757,EP - ECLIPSE
4758,THERMODYNAMIQUE DES FLUIDES DE GISEMENT
4759,PETROPHYSIQUE
4760,EP - SIMULATION DES RESERVOIRS
4763,CLASSIFICATION DES RESERVES
4767,MBAL
4768,EP - OFM
4770,MODELISATION GEOLOGIQUE RESV
4771,INTERPRETATION DIAGRAPHIQUE : PETROLAN
4774,EP - SIMULATIONS COMPOSITIONNE
4777,INCERTITUDE INTERP  UTILI ALEA
4778,INCERTITUDES MODE GEOLOGIQUE
4779,INCERTITUDES DYNAMIQUES
4780,INCERTITUDES EN ETUDE INTEGREE
4783,METHODE INTERP INTEGREE GWD-PRESSION
4786,CASING TUBING DES WITH WELLCAT
4787,LIAISON COUCHE TROU
4790,WELL PERFORMANCE - FUNDAMENTAL
4794,T-DESK & WELLMAP (EX ADVISE)
4834,INTERNET - RECHERCHE AVANCEE
4837,AUTOFORMATION BUREAUTIQUE ACC
4841,EP - CRASH HELICOPTERE-SURVIE
4842,BASIC SAFETY TRAINING
4846,ETUDES IMPACT INSTAL CLASSEES
4850,PRESTATIONS SECURITE SOCIALE -
4851,PAIE - DROIT DU TRAVAIL ET CHA
4853,ALLOCATION DECES & REVERSION -
4855,BULLETIN DE PAIE - CHARGES SOC
4856,ACTUALISATION RETRAITE - NEWS ET REFORME
4858,BASIC OFFSHORE SAFETY INDUCTIO
4859,GESTION DES CRISES MAJEURES
4862,UNIVERSAL OLF BASIC SURVIVAL
4865,GARANTS DE L'ARBRE DES CAUSES
4886,HSE IN CONSTRUCTION
4887,REFRESHER OFFSHORE SAFETY
4891,PRESIDER UN COMITE ENTREPRISE
4893,OLGA LEVEL I
4894,OLGA  LEVEL   II
4901,LUTTE CONTRE LES POLLUTIONS IMO NIVEAU 2
4904,LUTTE CONTRE LES POLLUTIONS IMO NIVEAU 2
4910,OPENWORKS AND SYSTEM ADMINISTR
4919,GEODATA MANAGEMENT IN OPENWORK
4924,EXPLOITATION SEPAM 1000 ET 200
4925,MISE EN OEUVRE DU SEPAM 1000+
4926,ACCESS 97 (1- INITIATION)  PAU
4927,ACCESS 97 (2. PERFECTIONNEMENT
4946,ESSAIS DE PUITS - SUPERVISION
4947,PENETRANT TESTING LEVEL2
4954,ARCVIEW 9 - NIVEAU 1 (EX 8)
4971,GEOLOGIE STRUCTURALE
4972,RESERVOIRS CARBONATES - NIVEAU 2
4973,SEDIMENTOLOGIE MILIEUX ACTUELS
4974,TURBIDITES
4975,PRESSIONS PIEGES ET COUVERTURES
4976,CABINE ECOLE MUDLOGGING
4978,SEDIMENTOLOGIE CLASTIQUE
4980,EP - TECHNIQUES STATISTIQUES
4981,INFORMATION GISEMENT
4982,MUD LOGGING
4983,RESERVOIRS FRACTURES - AVANCES
4985,LOGICIEL INTERPRETATION DIAGRA
4986,INITIATION A LA GEOPHYSIQUE
4989,CALIBRATION SISMIQUE
4992,OIL & GAS PROCESSING PLANTS
4994,RISQUES ET FACTEURS HUMAINS
4995,GESTION DE CRISE
4997,CONNAISSANCE PREVENTION RISQUE
4999,"SAFETY IN DESIGN & ENGINEERING, UPSTREAM"
5005,GESTION SECU ENVIRONMENT SITE
5006,SECOURISME
5008,E-LEARNING - SENSIBILISATION HSE
5010,PRATIQUE ECONOMIQUE DGEP
5011,COMPTABILITE DE EP
5012,HUNTING FOR OIL  E&P TECHNIQUE
5013,DECOUVERTE TECHNIQUES EP
5101,CONTROL INTERNE-OUTIL GES RISQ
5116,RISK MANAGEMENT
5117,LUTTE POLLUTIONS LITTORAL
5118,DEV APPLICAT  ENTR AVEC ACCESS
5130,ROUTEURS CISCO
5133,SECURITE SYSTEME ET RESEAU
5200,STAGE INTEGRATION DTS
5305,OPTIMISER SON TEMPS (SEC/ASS)
5319,METIER DE DOCUMENTALISTE
5321,PHOTOSHOP - VERSION 6
5403,PRATIQUE ET PIEGES AFFRETEMENT
5408,LIQUEFIED NATURAL GAS
5409,LA CHAINE GAZIERE
5411,PHOTOSHOP 6 3JRS NOVITEC
5413,JOURNEE 6 PARCOURS BUREAUTIQUE
5425,PHOTOSHOP 6 2JRS
5429,ACCESS 97 3 JRS
5507,TVA ECHANGES INTERNATIONAUX BI
5603,METHODOLOGIE MAITRISE RISQUES PROJETS
5604,WORKSHOP PLANIFICATION D'UN PROJET E&P
5609,"MANAGERS, GEREZ VOTRE STRESS"
5626,EXCEL MACROS VBA
5628,AMELIOREZ VOS ECRITS PROFESSIO
5629,PREPARATION RETRAITE MALAKOFF
5639,ACCESS 97 DEVELOPPEMENT
5648,E&P PROJECT QUALITY & RISK MANAGEMENT
5652,TOUS PROCEDES DE CONTRÔLE
5653,TECHNOLOGIE DU SOUDAGE
5660,INSTRUMENTATION ET CONTRÔLE PR
5662,SECURITE ACTIVITES DE LABORATOIRE
5667,BASIC WELL LOG INTERPRETATION
5668,REVISION DES COMPRESSEURS CENT
5670,SECURITE EN CONTROLE COMMANDES
5687,UNIX-LINUX PROGRAMMATION SHELL
5701,MICROSTATION V8
5716,SENSIBILISATION A LA PI
5717,ACCESS 97 (2-PERFECTIONNEMENT)
5719,WORD 2000 INITIATION
5722,C ++
5731,ASPEN RETAIL
5745,MANAGER CONTRATS APPRO PROJETS
5746,MANAGER LA QUALITE DU PROJET
5790,RESEAUX PRIVES VIRTUELS - VPN
5791,ROUTEURS CISCO PERFECTIONNEMEN
5793,VALIDATION ET TESTS  LOGICIELS
5795,CONNAITRE EP
5808,FINANCE POUR ECONOMISTES
5809,ASPECTS FINANCIERS DE L'EP TOUS METIER
5812,TYPICAL ICAPS TRAINING PLAN
5813,BASE DE MODELISATION SISMIQUE
5817,FORMATION GESTION DE CRISE
5822,RESOLVE
5823,PETREL AVANCE - MODELISATION
5901,COMBUST TECHNO CHAUFFAGE FIOUL
5904,DETECTION DES GAZ
5909,FORMATION SYSTEME
5914,LOGICIEL CHEMACCESS
5915,LOGICIEL PI
5919,REGLEMENT APPAREIL DE LEVAGE
5921,SAP BW305 ANALYSES  REPORTING
6031,SSTH COMPORTEMENT PERSO 5J
6096,TH LANGUES 40H
6099,SSTH ANGLAIS 40H
6100,PAU ANGLAIS
6101,SSTH ANGLAIS 120H
6102,PAU FRANCAIS
6103,SSTH FRANCAIS 60H
6105,SSTH ESPAGNOL 40H
6106,SSTH ESPAGNOL 60H
6114,PAU PORTUGAIS
6117,SSTH ALLEMAND 40H
6120,PAU AUTRES LANGUES
6121,SSTH AUTRE LANGUE 60H
6126,SSTH SECURITE OPERATIONEL. 3J
6207,TH TECHNIQUES RM 3J
6208,TH TECHNIQUES RM 5J
6210,SSTH FORMATION BASE RAFF 3J
6219,SSTH PERFECTIONNEMENT RAFF 3J
6220,SSTH PERFECTIONNEMENT RAFF 5J
6228,SSTH LUBRIFIANTS 3J
6252,GEN -TECHNOLOGIES DE LABORA 3J
6309,SSTH MAINTENANCE 3J
6400,ABSORPT-STRIPP-CONDUITE
6403,ADOBE PREMIERE
6408,ALGORITHMES  HUILES  3
6413,ANALYSE RISQUE PROFESSIONNEL
6416,UTILISATION LOGICIEL ARIANE
6418,AUDITS PLANIFIES
6419,AUTOMATES DE SECURITE
6421,BASES PACKAGES OM&S
6422,SAUVETEUR SECOURISTE
6423,BREVETS PERFECTIONNEMENT
6431,CHROMATOGRAPHIE CHEMSTATION
6433,CHROMATOGRAPHIE
6442,CONDUITE DES COMPRESSEURS
6449,CONSOLISTE INTERVENT D11/DGO3/D/DEA1/SF1
6450,CONSOLISTE DGO4/DGO5/DEA2/SF2
6453,CONTRIBUTION PERS/EXP SECURITE
6454,CONTROLE NON DESTRUCTIF
6456,CORROSION METAUX ET ALLIAGES
6457,CORROSION/DESSA -CONDUITE
6468,ECOTOXICOLOGIE EVAL RISQUES
6472,ELECTRICITE STATIQUE
6479,ETBE/FSC (AUTOMATES SECURITE)
6485,EXPRESSION ECRITE
6486,OPER EXT COGEN /  TRAIT DES EAUX - NRJ
6489,FCC PROCESS TECHNOLOGY
6490,FCC TRAINING COURSE
6491,FEUX GAZ INTERV SOUS ARI
6492,FI SECU/INFIRMERIE 1 HEURE -RP
6493,FONCTIONS ET CONCEPTS
